form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-3546c4e606f743cd822de76c39ac25bb,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d47ea8b153b04f35850b3a04f1bbdd8a,2017-09-11,"Capture, RemoteCamera",1,1YO,1,,1,Kathy
rec-1055a545fc1d4a9e9114a8b325f5922b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d47ea8b153b04f35850b3a04f1bbdd8a,2018-05-03,RemoteCamera,1,2YO,1,,,Kathy
rec-cea81ffa7c784b1a85a526b69f9823be,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d47ea8b153b04f35850b3a04f1bbdd8a,2020-09-25,Capture,1,1YO,2,,1,Kathy
rec-a2c524c3b13e479e948cc46e35b54168,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d47ea8b153b04f35850b3a04f1bbdd8a,2021-05-13,Aerial,1,2YO,2,,,Kathy
rec-9c3f91e8c72d49588b2b19ee34281b20,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d47ea8b153b04f35850b3a04f1bbdd8a,2022-09-16,Capture,2,COY,3,,,Kathy
rec-8b2d6f91fedd45a6b1a0f079a9aa77e7,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-609dd863130f415a9712798088014bec,2021-09-26,"Capture, RemoteCamera",0,,,,,Kim
rec-113ecd4ce6a8467f9764844eec08b8af,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-609dd863130f415a9712798088014bec,2022-05-24,Aerial,2,COY,1,,,Kim
rec-df31ab690eaf46a3866d0930f6748257,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-737d627cb8814888a70f8c89efca3f53,2017-05-18,Capture,0,,,,,Laura
rec-58a994c1cfec4e6aa0a07cfe46c5f8e3,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-737d627cb8814888a70f8c89efca3f53,2017-08-27,Capture,0,,,,,Laura
rec-8609870209364cbda98ac0b5eb53d8d0,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-737d627cb8814888a70f8c89efca3f53,2017-09-09,RemoteCamera,0,,,,,Laura
rec-1355ed1d0d1849bf9dfeabd7f40f9cba,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-3b6e1de6bcc24668a15e638b78513e5e,2017-05-01,Capture,0,,,,,Lily
rec-f840e7d1df974f5e9d778d1588ef988b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-dbf1a25bf15c46c88e7536c84af1d979,2019-09-22,Capture,0,,,,,Marilyn
rec-319db5308e144347b178213e7a0ab63f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-dbf1a25bf15c46c88e7536c84af1d979,2020-05-25,Aerial,0,,,,,Marilyn
rec-90da1debe43b4f199541bc9d177f58f1,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-4252f568f3154bb09c60cb86d362b669,2016-08-14,"Capture, Aerial",0,,,,,Melanie
rec-ce6fefb1ac1e4ca6b7b3f0ea44791bf7,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-4252f568f3154bb09c60cb86d362b669,2017-05-21,Aerial,2,COY,1,,2,Melanie
rec-75f236517ae047e1b314e4176fe00d02,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-4252f568f3154bb09c60cb86d362b669,2018-05-12,Aerial,2,1YO,1,,,Melanie
rec-a5ddd4bb90d847c5bc30f423e2b9bfad,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-4252f568f3154bb09c60cb86d362b669,2018-09-22,Visual,2,1YO,1,,2,Melanie
rec-806f7d285e914185b07c8ef15146b958,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2017-09-20,"Capture, RemoteCamera",0,,,,,Melissa
rec-cb2ec5c713fd47fabb6260d9e2a6342f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2018-05-12,Aerial,0,,,,,Melissa
rec-4599d75e51164d68a3f9a5904814cb67,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2020-10-16,Capture,2,COY,1,,2,Melissa
rec-f400ec02044e4ec5a609c07ed0ab6b2b,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d20d4dd2a6d445ddab36d438f8b67595,2021-05-13,Aerial,2,1YO,1,,,Melissa
