form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-af5966164a31476293c2e06a1f33500b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Hair,1420,cl-EV281
rec-2db384237818418b8e1f6a77f58afb7d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Blood,,WLH ID 21-2750
rec-53cd2e6cf0d4416d866282375e3afffd,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Blood,,WLH ID 21-2750
rec-1e9c6d1822e449998bd30a7aa28734d7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Blood,,WLH ID 21-2750
rec-f2a81ca81d214223bab1d12f97b2ca80,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-67c5c3c45bee43e5a645a46287040d55,Blood,,WLH ID 21-2750
rec-7ad040fa369e43239bb5a73ee85fc62d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Hair,14669,cl-EV195
rec-9594dcb937534a6893057a44bc55388f,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Tissue,14668,cl-EV196
rec-e8a0071215e146158f16397f0e9a9094,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-908afe99906a47b696ebe88d13587695,Tooth,14670,cl-EV197
rec-c7e17746fd4c4806b293cdffdf210445,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Hair,15335,cl-EV198
rec-154d7953731f44a4aaf450929c3c7a12,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ac60cfbeaca14a0ba3ae908e20bc692f,Tissue,15333,cl-EV199
